"Brian Sharp","CHEM-2837"
"Heather Pope","MATH-4665"
"Leonard Ali","MATH-2777"
"Richard Velasquez","CHEM-4903"
"Melanie Carpenter","MATH-4870"
"Suzanne Nelson","ENGR-3249"
"Joshua Thornton","BIOL-2377"
"Olivia Roth","PSYC-4782"
"Ryan Fernandez","CSCI-3537"
"Philip Velez","MATH-4881"
"Kristin Graham","STSO-2804"
"John Warner","ENGR-3161"
"Anthony Maldonado","PHYS-1027"
"Brian Bell","ECSE-4451"
"Cindy Kennedy","CHEM-1467"
"Scott Riley","BIOL-1596"
"Amanda Woodward","MATH-3968"
"Lisa Rivera","CSCI-4318"
"Jillian Chavez","ENGR-2375"
"Ana Parks","PHYS-2632"
"Wanda Jones","ECSE-4001"
"Christine Glenn","BIOL-2393"
"Timothy Ray","ENGR-3866"
"James Moon","CSCI-1381"
"Rick Wright","PSYC-4284"
"Keith Woods","PSYC-4805"
"Susan Hernandez","ECSE-3187"
"Katherine Haynes","ENGR-2022"
"Brian Wise","MATH-4176"
"Alejandro Marshall","BIOL-3841"
"Jerry Hall","CSCI-3786"
"Kevin Rodriguez","CHEM-2396"
"Kevin Nunez","PHYS-2758"
"Drew Walsh","CHEM-1173"
"Kelly Stone","CHEM-2109"
"Maurice Lewis","BIOL-3523"
"Donald Hinton","MATH-1516"
"Jon Little","ECSE-4754"
"Dylan Anderson","ENGR-4482"
"Dwayne Gonzalez","BIOL-2297"
"Patrick Larson","BIOL-4227"
"Mark Dickson","ENGR-4977"
"Devin Hayden","CHEM-3196"
"Christopher Richardson","PSYC-2809"
"James Rice","BIOL-1719"
"Connor Anderson","PSYC-3732"
"Alexandra Donovan","STSO-2323"
"Robert Weber","MATH-3677"
"Thomas Ramirez","PHYS-1211"
"Aaron Schroeder","MATH-4406"
"Stephanie Burton","CSCI-1367"
"Lindsay Allen","MATH-1961"
"Aaron Miller","ECSE-3859"
"Carolyn Sullivan","ITWS-4204"
"Steven Cardenas","CHEM-4544"
"Audrey Clarke","BIOL-1555"
"Edward Martin","ITWS-1942"
"Molly Kline","ENGR-3943"
"Becky Schneider","CHEM-1432"
"Kimberly Rogers","PSYC-4894"
"Jessica Zuniga","ENGR-4401"
"Rachel Mclean","CHEM-2428"
"Angela Thomas","CHEM-4878"
"Richard Hernandez","BIOL-4191"
"Whitney Hicks","CSCI-2842"
"Robert Rogers","STSO-1011"
"Isaiah Brown","ECSE-1969"
"Kelsey Mccall","STSO-1570"
"Karla Wilson","PHYS-2870"
"Mercedes Stein","MATH-4580"
"Tanya Dennis","CHEM-1634"
"Adam Lee","MATH-2890"
"Margaret Martinez","ENGR-2022"
"Anthony Weber","ITWS-1546"
"Olivia Jones","STSO-3375"
"Sharon Hayden","MATH-1756"
"Susan Sanders","ECSE-4895"
"Adam Lee","ITWS-4657"
"Melissa Thompson","PHYS-4920"
"Jamie Gutierrez","PSYC-4781"
"Albert Bradley","ENGR-3431"
"Joel Barry","PHYS-2862"
"Timothy Vaughn","PHYS-3175"
"Jenna Bullock","CSCI-1188"
"Laura Salas","ENGR-3677"
"Kurt Barker","PSYC-2849"
"Kimberly Gomez","STSO-2756"
"Christopher Lee","STSO-1246"
"Melinda Gonzales","MATH-3792"
"Krystal Day","CSCI-2366"
"Heather Michael","MATH-1397"
"Heather Morris","CHEM-1744"
"Judith Payne","MATH-2765"
"Michael Matthews","BIOL-1555"
"Christina Ramirez","ECSE-1489"
"Anthony Cortez","STSO-1459"
"Shawna Fuller","ECSE-2193"
"Antonio Phelps","BIOL-3906"
"Christopher Richardson","CSCI-1378"
"Lindsey Mills","PHYS-3786"
"Tina Hughes","CHEM-4186"
"Devin Williams","ECSE-3609"
"Thomas Carter","PSYC-4698"
"Daniel Hamilton","CHEM-1136"
"Zoe Peters","PSYC-1307"
"Cheryl Mendez","MATH-2354"
"Joshua Norton","PHYS-4965"
"Keith Lowe","STSO-4205"
"Debbie Rosario","STSO-3449"
"Nicole Manning","PSYC-4424"
"Jeremy Bates","CHEM-4959"
"Kevin Owens","CHEM-1949"
"Kevin Thomas","PHYS-3538"
"Sally Stewart","PSYC-2356"
"Jeffery Werner","PSYC-3355"
"Susan Jackson","ENGR-3887"
"Duane Anderson","BIOL-1285"
"Amanda Little","BIOL-3842"
"Catherine Taylor","ITWS-4910"
"Heather Walker","ITWS-4910"
"James Hernandez","ECSE-1057"
"Brian Yang","MATH-4871"
"Thomas Ferguson","CSCI-2508"
"Rhonda Moore","ECSE-3079"
"Cameron Gibson","STSO-1566"
"Scott Lopez","ENGR-3571"
"Jennifer White","ENGR-3574"
"Angela Edwards","MATH-4700"
"Jon Owens","CSCI-3024"
"Virginia Stanley","ITWS-3269"
"Kimberly Bradley","ECSE-3953"
"Olivia Butler","PSYC-1772"
"Jill Taylor","PHYS-2862"
"Annette Russell","STSO-1588"
"Larry Morris","ECSE-3278"
"Bruce Bradford","PHYS-1571"
"Michael Rubio","ECSE-2829"
"Michele Payne","CSCI-3786"
"Pamela Schroeder","ECSE-1306"
"Kimberly Bradley","ENGR-1301"
"Kenneth Williams","ECSE-1021"
"Daniel Chen","BIOL-3841"
"Lisa Bullock","ITWS-4452"
"Samuel Barrett","CSCI-3444"
"Angela Roberts","CHEM-3127"
"Megan Walker","PSYC-4805"
"Jacob Villa","MATH-2682"
"Robert Tucker","PSYC-3681"
"Lauren Roberts","CHEM-2620"
"Daniel Burton","CHEM-1408"
"Daniel Coleman","CSCI-4729"
"Jason Fuentes","CHEM-1359"
"Katherine Camacho","PSYC-4378"
"Danny Johnson","MATH-3445"
"Kristi Dawson","ECSE-4282"
"Gary Duran","MATH-3386"
"John Weber","CSCI-4418"
"John Burns","BIOL-1050"
"Alexandra Russell","ENGR-1860"
"James Robinson","PSYC-2222"
"Jacob Reyes","PSYC-2186"
"Erika Stanton","CHEM-2900"
"John Thomas","CHEM-4623"
"Ryan Nelson","MATH-4054"
"Matthew Walton","PHYS-2180"
"Amy Hayes","ECSE-1803"
"Jose Baldwin","MATH-3495"
"Michael Johnson","ECSE-3893"
"Meredith Long","ECSE-1160"
"Courtney Hill","PSYC-1261"
"Kayla Gonzalez","PHYS-2292"
"Erik Watson","ITWS-3077"
"David Lambert","ENGR-1571"
"David Harding","ECSE-2247"
"Brandon Schneider","CSCI-2158"
"Kevin Skinner","BIOL-3741"
"Miguel Dominguez","PHYS-3049"
"Kristy Hale","STSO-1214"
"Eric Harrison","ENGR-3444"
"Jeffrey Marquez","ENGR-2029"
"Samuel King","MATH-2425"
"Derrick Green","PHYS-3731"
"Andrea Evans","CSCI-4130"
"Brandon Berg","PSYC-1010"
"Kevin Patterson","CSCI-1941"
"Carlos Schwartz","ENGR-2427"
"Gary Stuart","BIOL-3617"
"Heather Bell","ITWS-1681"
"Sandy Richards","STSO-2924"
"Renee Murphy","CSCI-1381"
"Lisa Garrett","BIOL-1605"
"Angela Larson","BIOL-1528"
"Bryan Parsons","PSYC-1249"
"Michelle Davidson","PHYS-4440"
"Lisa Pearson","ENGR-4774"
"Donna Watts","PHYS-2999"
"Shawn Garza","ITWS-4293"
"Rebecca Solomon","PSYC-2531"
"Xavier Williams","ECSE-2557"
"Joyce Mcpherson","CHEM-1002"
"Patricia Thomas","STSO-3822"
"Sean Baker","ITWS-2265"
"Deborah Miller","PSYC-1606"
"Maria Page","ENGR-4209"
"Lindsay Collins","ITWS-1387"
"Marie Roberts","ITWS-2263"
"Patrick Eaton","BIOL-4539"
"Kimberly Williams","ITWS-3237"
"Ronnie Keith","MATH-3752"
"Krystal Reynolds","ENGR-4589"
"Lindsay Lawson","STSO-3837"
"Amy Gomez","BIOL-4960"
"Glenda Heath","ITWS-3648"
"Abigail Jones","BIOL-1596"
"Michele Bates","CHEM-2835"
"Michael Rivera","BIOL-2118"
"Jason Haynes","ITWS-4191"
"Jeffrey Mccormick","CHEM-4212"
"Jack Cardenas","STSO-1906"
"David Hernandez","BIOL-3024"
"Kimberly Roman","ENGR-3617"
"Shannon Gilmore","PHYS-4856"
"Michael Bryant","STSO-1290"
"Caroline Bell","ITWS-1436"
"James Cohen","BIOL-3538"
"Scott Lyons","CHEM-1178"
"Nicholas Galloway","PHYS-4188"
"Hannah Abbott","CHEM-3544"
"Michael Sanders","ENGR-1301"
"Jennifer Mason","ITWS-2672"
"Michelle Hall","STSO-3449"
"Laura Morgan","STSO-2445"
"Tyler Long","BIOL-1596"
"Sandra Hernandez","ITWS-3550"
"Linda Simmons","CHEM-1698"
"Mathew Pham","CHEM-2432"
"Scott Fox","STSO-2756"
"Kevin Warner","MATH-2448"
"Kurt Matthews","CHEM-1062"
"Danielle Hahn","BIOL-1461"
"Brittney Davis","PSYC-2092"
"Samantha Bright","BIOL-1365"
"Mary Lyons","BIOL-2734"
"Johnny Rogers","BIOL-3004"
"Mary Clark","CSCI-4297"
"Marie Rose","BIOL-4055"
"William Wu","PHYS-4402"
"Kelsey Moss","ENGR-1973"
"Tara Ramirez","PSYC-2555"
"Danny Porter","PHYS-3856"
"Kyle Cohen","ITWS-2141"
"Mark Hill","ECSE-2355"
"Debra Johnson","BIOL-3518"
"Brenda Hoffman","PHYS-1718"
"Alicia Benson","CHEM-1173"
"Mark Ross","CSCI-2828"
"Kimberly Garcia","CSCI-4957"
"Charles Walsh","ENGR-4977"
"Ashley Lloyd","ITWS-4537"
"Stephen Jackson","STSO-3882"
"Shane Pierce","PHYS-2829"
"Rebecca Wells","STSO-1011"
"Patrick Edwards","CHEM-1868"
"Tammy Schwartz","STSO-1796"
"Michael Wilson","ITWS-2600"
"Marcus Johnson","PHYS-2694"
"Kristen Fernandez","ITWS-2505"
"Virginia Ortiz","MATH-1350"
"Megan Moses","PHYS-2399"
"Patricia Adams","STSO-2470"
"Johnny Lopez","PSYC-1979"
"Heidi Williams","CHEM-4119"
"Debra Alexander","STSO-1586"
"Courtney Wright","ITWS-4238"
"Jeanette Arnold","BIOL-4150"
"Heather Knight","PSYC-1328"
"Brittany Gonzalez","CSCI-2640"
"Stephanie Murphy","PSYC-4781"
"William Arellano","BIOL-3001"
"Daniel Medina","CSCI-3392"
"Brian Dean","BIOL-2218"
"Patrick Larson","CSCI-4718"
"Robert Berry","ECSE-2679"
"Melanie Landry","ENGR-3866"
"Walter Jenkins","ITWS-4824"
"Oscar Frank","ECSE-3560"
"Sandra Cox","STSO-3591"
"Olivia Waters","ECSE-3792"
"Joan Hamilton","CHEM-4724"
"Jason Fuentes","ENGR-1181"
"Michelle Cruz","ITWS-4828"
"Matthew Mckinney","STSO-2947"
"Michael Roberts","BIOL-2285"
"Bobby Arroyo","ITWS-3744"
"Justin Edwards","PHYS-4990"
"Kristen Mckay","ECSE-3467"
"Melody Burns","ENGR-4148"
"John Warner","CHEM-1129"
"Bryan Kelley","PHYS-3652"
"Jake Smith","MATH-3008"
"George Campbell","ECSE-3044"
"Claudia Ramirez","PHYS-3693"
"Tonya Johnston","STSO-1021"
"Leonard Ali","ECSE-2426"
"Andrea Rowe","PHYS-2518"
"Miguel Miller","MATH-2641"
"Connie Green","MATH-2798"
"William Schneider","CHEM-3645"
"Charles Murphy","STSO-2947"
"Diane Brooks","PHYS-1350"
"Cody Kelly","ENGR-3917"
"Mark Ellis","MATH-1977"
"Steven Parsons","ITWS-1687"
"Joshua Holden","ENGR-3197"
"Jacob Robinson","STSO-2810"
"Angel Garcia","MATH-2919"
"John Bryant","PSYC-1889"
"Rhonda Forbes","MATH-3564"
"Aaron Turner","MATH-3230"
"Erica Green","ECSE-3913"
"Mark Williams","BIOL-2858"
"Michelle Murray","ITWS-1744"
"James Kelley","ECSE-2245"
"Tammy Barrett","ECSE-3102"
"Shannon Frazier","BIOL-4339"
"Elizabeth Yu","CHEM-4544"
"William Alvarez","BIOL-2746"
"Brenda Jacobson","PHYS-1881"
"Jennifer Schmitt","ITWS-2600"
"Nicole Henderson","ENGR-3973"
"Benjamin Shaw","CSCI-4885"
"Patrick White","ECSE-2728"
"Nathan Scott","MATH-4806"
"Danielle Gonzales","ITWS-2505"
"Daniel Porter","CSCI-3179"
"Lawrence Carr","ECSE-3041"
"Mary Bruce","STSO-3268"
"David Lewis","BIOL-3412"
"Tina Greene","STSO-1486"
"Stacey Tucker","ITWS-2560"
"Tony Curry","CSCI-2510"
"Cody Walton","CSCI-1637"
"Samantha Werner","PHYS-3572"
"Sabrina Stanley","STSO-3002"
"Wanda Shaffer","STSO-4738"
"Kimberly Berg","CHEM-3848"
"Ryan Zimmerman","ITWS-2438"
"Stephanie Little","MATH-2765"
"Melanie Carpenter","ENGR-3874"
"George Smith","ECSE-3953"
"Shelby Byrd","PHYS-3123"
"Robert Flores","PSYC-1636"
"Kaitlin Vega","ECSE-3079"
"Melanie Johnson","MATH-2641"
"Gary Perry","ECSE-3260"
"Brian White","CSCI-2592"
"Jacob Taylor","MATH-1516"
"Michaela Kelly","MATH-4493"
"Carrie Fritz","ENGR-2841"
"Sheena Rosales","PHYS-3898"
"Joe Smith","PHYS-1163"
"Lisa Preston","PSYC-2984"
"Vanessa Lewis","PSYC-4772"
"Deborah Santos","BIOL-1337"
"Juan Santos","CHEM-2675"
"Phyllis Villanueva","ITWS-3707"
"Erik Watson","ECSE-2189"
"Andrea Berry","BIOL-1395"
"Joshua Powers","MATH-3252"
"Lucas Johnson","BIOL-1395"
"Melissa Cummings","ECSE-3698"
"Mike Carter","ITWS-3755"
"Tabitha Leonard","PHYS-2862"
"Jasmine Mendoza","PHYS-3337"
"Ariana Zuniga","STSO-3715"
"Leroy Holden","BIOL-1999"
"Lindsay Murphy","BIOL-1285"
"Hector Flores","STSO-2299"
"Katherine Davis","PSYC-3652"
"Joseph Cantu","ECSE-3318"
"Amy Black","PSYC-1848"
"Derrick Daugherty","CHEM-1024"
"Adam Johnson","CHEM-1855"
"Cody Carpenter","PSYC-2542"
"Norman Stewart","ECSE-2783"
"John George","CHEM-3509"
"Tara Keller","PHYS-3261"
"Melissa King","MATH-2535"
"Scott Shelton","CHEM-3196"
"Christopher Schultz","CSCI-4527"
"Nathan Mccoy","ITWS-2438"
"Donna Doyle","MATH-1004"
"Willie Bennett","STSO-3752"
"David Frank","ITWS-1519"
"Nathan Olson","CHEM-1154"
"Aaron Powers","STSO-2754"
"Monica Smith","CHEM-2170"
"Michael Bryant","PHYS-1842"
"Patricia Adams","BIOL-4191"
"Hector Evans","PSYC-1871"
"Veronica Davies","BIOL-4168"
"Collin Boyd","ECSE-2529"
"Mariah Johnson","CHEM-4462"
"Susan Silva","ITWS-3837"
"Ashlee Coffey","STSO-1214"
"Cassandra Anderson","MATH-2074"
"Amanda Patel","BIOL-3875"
"Jeffrey Vincent","CHEM-4544"
"Joshua Mendoza","PSYC-1110"
"Kimberly Anderson","PSYC-4707"
"Lawrence Davis","PSYC-1814"
"Joshua Miller","CSCI-1472"
"Brandon Obrien","ECSE-2426"
"Alexander Valdez","PHYS-4757"
"Jessica Medina","BIOL-1475"
"Jessica Miller","PSYC-4782"
"Douglas Christensen","ITWS-2236"
"Whitney Morrison","STSO-4932"
"Robert Bennett","ECSE-1212"
"Nathaniel Jenkins","ECSE-2119"
"Glenn Hardy","CHEM-1309"
"Martha Warner","PSYC-1033"
"Dorothy Chavez","ECSE-3687"
"Kevin Clark","ENGR-4447"
"Kelly Hendrix","STSO-4880"
"Kristopher Cole","CHEM-1038"
"Tiffany Wolfe","BIOL-2227"
"Gregory Cameron","PSYC-2026"
"Danielle Humphrey","ENGR-2674"
"Brian Bell","PHYS-3920"
"Jeffery Werner","PSYC-3444"
"William Clark","ENGR-2505"
"Mark Lee","PSYC-1647"
"April Owen","CSCI-4297"
"Marilyn Jimenez","MATH-2926"
"Cory Hughes","CHEM-2340"
"Brian Montgomery","CHEM-4470"
"Amanda Gomez","STSO-2232"
"Megan Williamson","ECSE-2829"
"Joseph Frazier","MATH-3913"
"James Maldonado","CHEM-2902"
"Audrey Gonzalez","ENGR-1883"
"Robin Brady","CHEM-3537"
"Sandra Hendrix","PSYC-2186"
"George Greer","CSCI-1837"
"David Cunningham","CSCI-1847"
"Devin Green","MATH-3152"
"Andrea Atkins","PHYS-1779"
"Melissa Grant","MATH-2018"
"Michael Chapman","ENGR-1980"
"Susan Ellis","STSO-1280"
"Amanda Mullins","PHYS-3026"
"Alvin Weber","BIOL-3810"
"Renee Ponce","ITWS-1282"
"Bradley Henry","ITWS-1777"
"Robin Torres","CHEM-1786"
"Sarah Porter","PHYS-4440"
"Melissa Long","CHEM-2168"
"Sean Larson","CHEM-4205"
"Norma Rodriguez","ITWS-1219"
"Kristin Stephens","STSO-3708"
"Michael Hester","PSYC-2746"
"Larry Bauer","CSCI-3890"
"Laura Cox","PHYS-2568"
"Samuel Jones","CSCI-2621"
"Amanda Bradley","PSYC-4093"
"Angela Henderson","ENGR-3962"
"Audrey Thomas","ITWS-4682"
"Faith Flowers","PSYC-4730"
"Kristina Mason","MATH-3144"
"Bianca Nguyen","PHYS-3572"
"Michael Williamson","PHYS-1881"
"Matthew Ward","STSO-2712"
"Peter Harrison","CSCI-4112"
"Brian Shaw","CHEM-2811"
"Amanda Brooks","CSCI-4318"
"Angela Conner","ENGR-3979"
"George Campbell","MATH-4845"
"Tyler Glass","ITWS-4488"
"Desiree Williams","PSYC-2343"
"Anthony Mcdonald","CHEM-2426"
"Jordan Griffith","PHYS-1275"
"Kimberly Mann","BIOL-3810"
"Kristen Stevens","CSCI-3037"
"Andrew Aguilar","ECSE-3278"
"Bonnie Sullivan","PHYS-2393"
"Jessica Diaz","CSCI-2441"
"Sean Mitchell","MATH-2692"
"Lisa Martin","MATH-1543"
"Jill Brown","STSO-2733"
"Vickie Day","CSCI-3266"
"Tanya Turner","CHEM-1949"
"Kenneth Brooks","ITWS-4657"
"John Davidson","PHYS-3175"
"Laurie Brown","BIOL-4232"
"Brian Collins","CHEM-1958"
"Kristi Dawson","PHYS-4096"
"Michele Taylor","CHEM-2439"
"Amy Thompson","PSYC-4207"
"Laurie Daniel","MATH-1038"
"Craig Cunningham","ENGR-3574"
"Keith Ellis","ITWS-1290"
"Christine Sanchez","ENGR-4385"
"Jacqueline Moody","ENGR-4591"
"Gabriel Gay","ITWS-4499"
"Kathy Obrien","BIOL-2297"
"Ashlee Sparks","PHYS-2513"
"Stephanie Scott","PSYC-1033"
"Jennifer Johnson","MATH-1447"
"Michelle Lopez","ECSE-3612"
"Daniel Gordon","STSO-4052"
"Cody Medina","ITWS-1219"
"Kyle Mooney","CSCI-3390"
"Angela Davis","PSYC-3202"
"Shannon Frazier","STSO-1278"
"Elizabeth Wilkinson","ITWS-4608"
"Patricia Salazar","ECSE-3859"
"Jacqueline Alvarez","STSO-2169"
"Kimberly Kelly","PSYC-1544"
"Travis Joyce","CHEM-4573"
"Olivia Neal","MATH-3968"
"Jane Smith","ENGR-3659"
"Aaron Smith","CHEM-3127"
"Jeffrey Forbes","ITWS-4346"
"Christopher Schultz","PHYS-1237"
"Tiffany Collins","PSYC-4894"
"Stephen Phelps","CHEM-1372"
"Jodi Valentine","PSYC-2939"
"Bradley Gonzalez","STSO-1906"
"Andrew Bradford","ITWS-4452"
"Melissa Wood","ECSE-4230"
"Jillian Larson","MATH-1573"
"Christine Ochoa","ITWS-3364"
"Kristina Williamson","MATH-2425"
"Amanda Heath","PSYC-3851"
"Charles Preston","ECSE-4225"
"Kevin Roberts","ENGR-1186"
"Guy Bradley","ITWS-1540"
"Ashley Walls","ENGR-2841"
"Ruth Knight","CHEM-1062"
"Rodney Thomas","ITWS-1727"
"Alexandra Smith","MATH-1038"
"Yvonne Higgins","ECSE-4322"
"Susan Kramer","BIOL-3661"
"Sarah Parrish","STSO-3837"
"Thomas Carlson","CHEM-1698"
"Penny Livingston","STSO-3786"
"William Garcia","BIOL-1101"
"John Ballard","ENGR-2099"
"Troy Sanchez","CSCI-3335"
"Hannah Sanchez","BIOL-1719"
"Mary Smith","ECSE-2829"
"Dennis Sheppard","ENGR-1418"
"Sarah Collins","BIOL-2377"
"Richard Johnson","CHEM-4862"
"Jaime Alvarez","ECSE-1696"
"Ian Mills","CSCI-4394"
"Valerie Schultz","ITWS-3780"
"Jake Duran","ITWS-3744"
"Alicia Flowers","STSO-2948"
"Heidi Baker","PHYS-3920"
"Blake Peck","MATH-1131"
"Cindy Gaines","PSYC-3207"
"Jessica Bates","BIOL-3110"
"Henry Lewis","CSCI-2623"
"Samantha Rodriguez","ITWS-4682"
"Joshua Bishop","MATH-4601"
"Benjamin Holder","MATH-2434"
"Cynthia Dalton","ECSE-2022"
"Samuel Solomon","CHEM-4538"
"Sarah George","MATH-2319"
"Latoya Baldwin","BIOL-3075"
"Nathaniel Wilson","CSCI-3304"
"Leonard Smith","CSCI-3693"
"Jeffery Brown","STSO-2884"
"Joanne Santos","ENGR-4401"
"George Williams","ECSE-3247"
"Roberto Rasmussen","PHYS-4940"
"James Thomas","PHYS-2953"
"Deanna Aguilar","ECSE-3260"
"Katie Boyd","BIOL-2719"
"Jeremy Mills","CHEM-4201"
"Angela Jones","ECSE-3247"
"Shannon Ramos","ITWS-1406"
"Nancy Ortiz","CHEM-1475"
"Dylan Barnett","BIOL-1528"
"James Warner","MATH-2659"
"Tyler Collier","PSYC-1541"
"Sierra Montoya","ECSE-4993"
"William Lewis","STSO-4313"
"Zachary Ramirez","BIOL-2498"
"Isaac Steele","PSYC-4729"
"Tammy Huynh","MATH-2576"
"Sandra Rogers","PHYS-2862"
"Brian Chavez","ENGR-4209"
"David Moreno","PHYS-3920"
"Gloria Ortega","MATH-2706"
"Kimberly Bailey","ENGR-4209"
"James Daniels","PSYC-2558"
"Destiny Davis","CHEM-1129"
"Amy Gomez","STSO-2838"
"Michael Schmidt","STSO-3570"
"Mercedes Castro","ENGR-4167"
"David Hicks","STSO-3081"
"Gina Cervantes","PSYC-2912"
"Vanessa Hernandez","CSCI-3444"
"Jennifer Sanders","MATH-1475"
"Hailey Bass","ITWS-1889"
"Kenneth Hunt","CSCI-1637"
"Joshua Walker","CSCI-4885"
"Robert Colon","PHYS-3949"
"Laura Pearson","ITWS-4491"
"Brandon Schmidt","ITWS-1519"
"Christopher Armstrong","ENGR-3962"
"Debbie Henderson","BIOL-1057"
"Christina Chambers","ENGR-3775"
"Melissa York","ITWS-3230"
"Theresa Johnston","ENGR-3856"
"Bianca Fisher","ENGR-1149"
"Elizabeth Walls","ECSE-1160"
"Elizabeth Green","BIOL-3204"
"Sandra Estrada","ENGR-1661"
"Taylor Payne","ITWS-3746"
"Patrick Middleton","CHEM-3957"
"Travis Simon","PSYC-1213"
"Sara Nguyen","STSO-3951"
"Gabriel Parker","PSYC-3625"
"Wendy Vargas","STSO-2723"
"Larry Garcia","PHYS-3071"
"Vicki Mendoza","BIOL-2858"
"Lacey Stanley","PSYC-3141"
"Kenneth Morris","PSYC-4589"
"Robert Clark","STSO-1459"
"Andre Conley","ITWS-4452"
"Whitney Anderson","BIOL-2439"
"Dominic Thornton","CSCI-2592"
"James West","CSCI-4517"
"Michele Morales","PHYS-3049"
"Bobby Logan","STSO-3736"
"Melody Burns","ECSE-4791"
"Brian Shaw","PHYS-3952"
"Christopher Robertson","BIOL-2439"
"Dalton Griffin","PHYS-4856"
"Grace Graham","CSCI-4729"
"Lori Flynn","CSCI-2828"
"Alan Davis","MATH-3079"
"Austin Torres","CHEM-3537"
"Wanda Shaffer","ENGR-1418"
"Ian Long","ECSE-1525"
"Eric Riddle","ITWS-1644"
"Laura Hicks","ENGR-4136"
"Diana Jackson","CHEM-1497"
"Shannon Bailey","MATH-1725"
"Robert Stanley","BIOL-3065"
"Daniel Thompson","CHEM-4963"
"Troy Moss","STSO-3417"
"Daniel Lee","BIOL-1475"
"Kayla Howell","PSYC-2408"
"James Nicholson","ENGR-3027"
"Patrick Ross","CSCI-4545"
"Eric Frye","ITWS-2560"
"Bryan Rios","CHEM-2900"
"Joseph Huff","ECSE-1185"
"Amy Oneill","ECSE-3521"
"Melanie Young","BIOL-3842"
"Nancy Ortiz","MATH-1447"
"Ariel Lee","BIOL-3855"
"Laura Davis","STSO-3081"
"Christopher Williams","ITWS-1360"
"Gregory Wood","ECSE-2807"
"Brian Harris","MATH-4261"
"Nicole Carson","PHYS-1541"
"Jamie Kim","MATH-2114"
"Christopher Ruiz","CSCI-3304"
"Manuel Moon","STSO-1904"
"Maria Curtis","ECSE-1664"
"Michelle Cain","CHEM-2703"
"Kimberly Green","STSO-1924"
"Diane Johnson","PHYS-3321"
"Sonia Williams","BIOL-4961"
"Jennifer Rush","ECSE-3564"
"Kimberly Reed","CHEM-1610"
"Dwayne Ward","CHEM-4746"
"Elizabeth Jackson","PSYC-2684"
"Natasha Vasquez","PSYC-3494"
"Matthew Gomez","ECSE-3092"
"Elizabeth House","ITWS-1898"
"Lisa Hughes","CHEM-3587"
"James Davis","CSCI-1068"
"Lauren Caldwell","PSYC-3000"
"Jessica Anderson","ITWS-2803"
"Robert Greene","BIOL-4368"
"Brian Good","PSYC-4486"
"Valerie Camacho","CHEM-4766"
"Jennifer Williams","BIOL-4339"
"Cindy Rodriguez","PSYC-2714"
"Billy Crane","STSO-4614"
"Keith Lowe","CSCI-3039"
"Joe Tran","PSYC-1033"
"Joseph Frazier","CSCI-4112"
"Tommy Kim","STSO-1586"
"Tracey Garcia","PSYC-4698"
"Robert Colon","BIOL-3276"
"Gerald Cain","BIOL-3523"
"Jasmine Guerra","BIOL-4539"
"Brittney Blake","ECSE-2288"
"Ian Garcia","CHEM-4522"
"Shelia Payne","CHEM-4119"
"Aaron Hardin","MATH-4806"
"Samuel Jones","ECSE-4124"
"Christopher Thompson","STSO-3617"
"Mario Padilla","PHYS-4435"
"Nicholas Fry","ECSE-2247"
"Maurice Weaver","PHYS-3046"
"Kathleen Espinoza","CHEM-2396"
"Eric Douglas","PSYC-3881"
"Donna Jones","PHYS-4757"
"Stacy Davis","CSCI-4718"
"Angela Bryan","ENGR-2882"
"Emily Keller","ENGR-1180"
"Melissa Schmitt","ENGR-2505"
"Karen Fisher","MATH-2556"
"Shawn Garza","ECSE-3704"
"Joel Weiss","ENGR-1411"
"Alex Turner","CSCI-1519"
"Gabriela Huerta","CHEM-4462"
"Erin Gregory","CSCI-3335"
"Edwin Perry","ITWS-3230"
"Michelle Sims","PHYS-2393"
"Mary Myers","PSYC-1154"
"Monique Wallace","ITWS-2025"
"Brenda Perkins","STSO-4738"
"Kyle Moore","BIOL-2415"
"Patricia Garrison","PHYS-3828"
"Wayne Stone","MATH-4662"
"Christopher Pittman","CHEM-2837"
"Sheila Coffey","BIOL-1719"
"Jesse Mann","ECSE-2858"
"Shawn Mckay","ECSE-4136"
"Claudia Ramirez","MATH-2659"
"Lynn Hurley","CHEM-3063"
"Gregory Francis","CSCI-2222"
"James Sandoval","CHEM-3281"
"Randy Montgomery","PSYC-2354"
"Robin Spencer","PSYC-2343"
"Jennifer Tyler","ENGR-3731"
"George Carter","BIOL-2415"
"Julie Johnson","CSCI-1867"
"Ashley Huff","MATH-4817"
"Kristen Pollard","ITWS-3755"
"Sean Torres","ITWS-4325"
"Christina Herrera","BIOL-2538"
"Michael Mata","ECSE-2247"
"Ashley Farmer","ENGR-1631"
"Oscar Taylor","ENGR-1499"
"Krystal Perez","ITWS-3180"
"Jesse Lopez","ENGR-4158"
"Jeffrey Ruiz","CHEM-3902"
"Francisco Young","PSYC-4105"
"Richard Daniels","CHEM-2554"
"Nicholas Payne","MATH-4274"
"Richard Lee","ECSE-3309"
"Corey Knapp","ECSE-1338"
"Tamara Smith","CHEM-4112"
"Tara Keller","STSO-4621"
"Hannah Abbott","PHYS-1311"
"Jean Miles","CHEM-2306"
"Marc Brooks","ENGR-2841"
"Jack Williams","ECSE-3028"
"Joshua Thomas","CHEM-4959"
"Luis Alexander","MATH-2167"
